Panel (superior)
Panel de chat | Líneas del panel de chat | Modo para las líneas del panel de chat (lado superior izquierdo) <p> Nota: Los colores se verán ligeramente diferentes a las líneas del panel de información porque los colores Elite originales son diferentes.
Panel de chat | Color personalizado | Color personalizado para las líneas del panel de chat. (*Alfa)
Panel de chat | Iconos del panel de chat | Modo para los iconos del panel de chat.
Panel de chat | Color personalizado | Color personalizado para los iconos del panel de chat. (*Alfa)
Panel de información | Líneas del panel de información | Modo para líneas del panel de información (parte superior derecha)
Panel de información | Líneas del panel de información | Color personalizado para las líneas del panel de información. (*Alfa)
Panel de información | Nombre de nave | Color del texto del nombre del nave.
Panel de información | Nombre de nave | Color personalizado para el nombre del nave.
Panel de información | Brillo de nombre de la nave | Brillo del nombre del nave
Panel de información | Resplandor del fondo del nombre de nave | Resplandor del fondo del nombre del nave
Retícula de objetivo 
Retícula de objetivo | Retícula de orientación | Modo para retícula de orientación
Retícula de objetivo | Icono de rango | Icono de rango que aparece junto al nave objetivo (solo neutral / naranja)
Retícula de objetivo - Componentes | Tri-barras grandes | Color personalizado para Tri-barras grandes (una vertical en la parte superior, dos diagonales en la parte inferior). (*Alfa)
Retícula de objetivo - Componentes | Tri-bars pequeños | Color personalizado para Tri-bars pequeños. (*Alfa)
Retícula de objetivo - Componentes | Círculo grande | Color personalizado para círculo grande. (*Alfa)
Retícula de objetivo - Componentes | Círculo principal | Color personalizado para el círculo principal. (*Alfa)
Retícula de objetivo - Componentes | Puntos de armas | Color personalizado para puntos de armas. (*Alfa)
Retícula de objetivo - Componentes | Punto del ratón | Color personalizado para el punto del ratón. (*Alfa)
Retícula de objetivo - Componentes | Bloqueo de misiles | Color personalizado para Bloqueo de misiles (también Despegue de la animación del planeta) * Alfa
Objetivos ambientales y de destino | Modo | Modo de objetivos ambientales y de destino (y bloqueo de misiles)
Objetivos ambientales y de destino | Posible objetivo de envío | Color personalizado para Posible objetivo de envío (no seleccionado). (*Alfa)
Objetivos ambientales y de destino | Posible destino de destino | Color personalizado para Posible destino de destino y flecha relativa del mouse. (*Alfa)
Objetivos ambientales y de destino | Posible círculo de destino de supercrucero | Color personalizado para posible círculo de destino de supercrucero. (*Alfa)
Objetivos ambientales y de destino | Círculo de destino de destino | Color personalizado para el círculo de destino de destino. (*Alfa)
Objetivos ambientales y de destino | Brillo del texto | Objetivo de destino Brillo del texto (el texto a la derecha del círculo)
Objetivos ambientales y de destino | Modo de rombo gris | Modo de rombo gris (objetivo potencial no biológico en el medio ambiente)
Objetivos ambientales y de destino | Color del rombo gris | Color personalizado para el rombo gris (objetivo potencial no biológico en el medio ambiente). (*Alfa)
Objetivos ambientales y de destino | Aumento de rombo gris | Aumento de opacidad en SRV
Objetivos ambientales y de destino | Texto de aterrizaje planetario del nave (azul) | En Elite predeterminado, el texto azul 'nave asegurado' cuando el aterrizaje se apaga. <p> Aquí puede reducir el brillo de este texto (recomendado 0.4 a 0.6)
Configuración de HUD
Texto principal | Modo de texto | Intercambio de color de texto naranja (la mayoría del texto).
Texto principal | Color del texto | Color personalizado para texto global. *Alfa*
