Painel (superior)
Painel de bate-papo | Linhas do painel de bate-papo | Modo para linhas do painel de bate-papo (canto superior esquerdo) <p> Observação: as cores serão ligeiramente diferentes das linhas do painel de informações porque as cores Elite originais são diferentes.
Painel de bate-papo | Cor personalizada | Cor personalizada para linhas do painel de bate-papo. (*Alfa)
Painel de bate-papo | Ícones do painel de bate-papo | Modo para ícones do painel de bate-papo.
Painel de bate-papo | Cor personalizada | Cor personalizada para ícones do painel de bate-papo. (*Alfa)
Painel de informações | Linhas do painel de informações | Modo para linhas do painel de informações (lado superior direito)
Painel de informações | Linhas do painel de informações | Cor personalizada para as linhas do painel de informações. (*Alfa)
Painel de informações | Nome do navio | Cor do texto para o nome do navio.
Painel de informações | Nome do navio | Cor personalizada para o nome do navio.
Painel de informações | Brilho do nome do navio | Brilho do nome do navio
Painel de informações | Brilho do fundo do nome do navio | Brilho do fundo do nome do navio
Retícula de mira
Retículo de mira | Retículo de mira | Modo para retículo de mira
Retícula de mira | Ícone de classificação | Ícone de classificação que aparece ao lado do navio alvo (apenas neutro / laranja)
Retícula de mira - Componentes | Tri-barras grandes | Cor personalizada para tri-barras grandes (uma vertical na parte superior, duas diagonais na parte inferior). (*Alfa)
Retícula de mira - Componentes | Tri-barras pequenas | Cor personalizada para Tri-barras pequenas. (*Alfa)
Retícula de mira - Componentes | Círculo grande | Cor personalizada para o círculo grande. (*Alfa)
Retícula de mira - Componentes | Círculo principal | Cor personalizada para o círculo principal. (*Alfa)
Retícula de mira - Componentes | Pontos de arma | Cor personalizada para pontos de arma. (*Alfa)
Retícula de mira - Componentes | Ponto do mouse | Cor personalizada para ponto do mouse. (*Alfa)
Retícula de mira - Componentes | Bloqueio de mísseis | Cor personalizada para o bloqueio de mísseis (também animação de decolagem do planeta) * Alfa
Metas ambientais e de destino | Modo | Modo de metas ambientais e de destino (e bloqueio de mísseis)
Metas ambientais e de destino | Alvo de navio possível | Cor personalizada para alvo de navio possível (não selecionado). (*Alfa)
Metas ambientais e de destino | Alvo de destino possível | Cor personalizada para alvo de destino possível e seta relativa do mouse. (*Alfa)
Metas ambientais e de destino | Círculo de alvo de supercruzamento possível | Cor personalizada para círculo de alvo de supercruzamento Possível. (*Alfa)
Metas ambientais e de destino | Círculo de destino de destino | Cor personalizada para o círculo de destino de destino. (*Alfa)
Metas ambientais e de destino | Brilho do texto | Alvo de destino Brilho do texto (o texto à direita do círculo)
Metas ambientais e de destino | Modo Rhombus cinza | Modo para Rhombus cinza (alvo potencial não biológico no ambiente)
Metas ambientais e de destino | Cor cinza Rhombus | Cor personalizada para cinza Rhombus (alvo potencial não biológico no ambiente). (*Alfa)
Metas ambientais e de destino | Aumento de Rhombus cinza | Aumento de opacidade em SRV
Metas ambientais e de destino | Texto de pouso planetário de navio (azul) | No padrão Elite, o texto azul "Navio protegido" ao pousar é apagado. <p> Aqui você pode reduzir o brilho deste texto (recomendado de 0,4 a 0,6)
Configurações do HUD
Texto principal | Modo de texto | Troca da cor do texto laranja (a maior parte do texto).
Texto principal | Cor do texto | Cor personalizada para texto global. *Alfa*
Texto principal | Modo de texto destacado | Modo para texto destacado em todos os painéis.
Texto principal | Cor do texto em destaque | Cor personalizada para o texto em destaque em todos os painéis. *Alfa*
Textos secundários | Modo de texto | Troca de cor de texto azul (em torno do AHUD e do texto da missão, entre outros).
Textos secundários | Cor do texto | Cor personalizada para textos secundários. *Alfa*
Textos terciários | Modo de texto | Troca de cor de texto em amarelo (destaque do OwnCarrier, texto do retículo de aterrissagem, entre outros).
Textos terciários | Cor do texto | Cor personalizada para textos terciários. *Alfa*
Mapa da galáxia | Modo de ícone | Cor do ícone GalMap (excluindo Engenharia) e cor da Linha de Viagem.
